,Are you self-employed?,Do you have previous employers?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?
507,-5,5,5,1,5,5,1,5,5,5
508,-5,5,1,-5,1,1,1,5,5,5
509,-5,5,-5,-5,3,1,5,5,5,-5
510,-5,5,1,-5,1,1,1,5,-5,5
511,5,-5,5,1,1,1,-5,1,-5,-5
512,-5,5,5,-5,1,1,1,5,5,5
513,-5,5,-5,-5,3,1,1,5,5,-5
514,-5,5,5,-5,1,1,-1,5,1,1
515,-5,5,5,-5,3,3,-3,-5,-5,1
516,5,5,5,1,1,-3,0,-5,-5,-5
517,-5,-5,5,5,1,-3,-5,-5,-5,-5
518,5,5,1,1,1,1,1,5,5,1
519,5,5,1,-5,5,3,1,5,5,5
520,-5,5,-5,-5,3,3,1,5,5,5
521,-5,5,5,-5,3,3,-1,1,5,-5
522,5,5,-5,-5,3,1,-5,-5,-5,-5
523,-5,5,1,-5,3,1,1,5,5,1
524,5,5,1,-5,1,-3,5,-5,5,-5
525,-5,5,5,1,1,-5,1,-5,5,5
526,-5,5,-5,-5,5,1,5,-5,5,-5
527,-5,5,-5,-5,1,1,1,5,5,5
528,-5,-5,5,-5,3,3,1,1,-5,-5
529,-5,5,5,5,-3,-3,5,5,5,-5
530,5,5,1,-5,3,3,-3,1,1,1
531,5,5,1,1,1,1,5,-5,5,5
532,-5,-5,1,-5,1,-3,0,1,-5,5
533,-5,5,1,1,1,1,-1,5,5,5
534,5,5,1,1,-5,-5,5,-5,5,5
535,-5,5,1,-5,-3,-3,-3,1,1,1
536,-5,5,-5,-5,3,3,1,5,5,5
537,-5,5,-5,-5,1,3,-3,5,1,1
538,-5,5,-5,-5,3,1,1,-5,-5,-5
539,5,5,1,-5,3,3,1,1,1,1
540,-5,5,5,5,1,-5,0,-5,5,5
541,5,5,1,-5,5,1,1,5,1,1
542,-5,5,1,-5,1,1,0,5,1,-5
543,-5,5,5,1,1,-3,1,1,-5,-5
544,-5,5,-5,1,3,3,1,5,1,-5
545,-5,5,5,1,1,1,1,5,-5,-5
546,5,-5,5,1,3,3,1,5,5,5
547,-5,5,1,1,1,-3,-1,-5,5,5
548,-5,5,5,1,1,1,1,5,5,-5
549,-5,5,-5,-5,3,1,0,-5,-5,-5
550,-5,5,1,1,1,1,1,5,5,5
551,-5,5,5,1,1,1,1,-5,-5,-5
552,-5,5,-5,-5,3,3,1,5,5,-5
553,-5,5,-5,-5,1,1,-5,5,-5,-5
554,-5,5,1,1,1,3,1,1,-5,-5
555,-5,5,1,-5,5,3,1,5,5,5
556,-5,5,1,-5,1,1,1,5,1,1
557,-5,5,1,-5,3,-3,1,-5,-5,-5
558,-5,5,-5,-5,5,3,5,5,5,5
559,-5,5,-5,1,3,1,-1,-5,-5,-5
560,-5,5,5,5,1,-3,-5,-5,-5,-5
561,-5,5,5,5,-3,-3,5,5,5,1
562,-5,5,1,1,-3,1,-1,-5,-5,-5
563,5,-5,-5,-5,-3,-5,1,5,-5,-5
564,-5,-5,5,-5,3,-3,1,-5,-5,-5
565,-5,5,1,-5,3,3,-1,-5,5,-5
566,-5,5,1,1,1,1,-1,-5,1,-5
567,-5,5,1,1,-3,-3,1,5,5,-5
568,-5,5,1,-5,1,-3,-1,5,1,-5
569,-5,5,-5,-5,3,-3,1,-5,-5,-5
570,-5,-5,1,-5,-3,-3,1,1,5,5
571,-5,5,1,1,-3,-3,5,-5,-5,-5
572,-5,-5,5,1,-3,-3,1,-5,-5,-5
573,-5,5,-5,-5,1,-3,5,5,5,5
574,5,5,1,1,1,1,1,1,1,-5
575,-5,5,1,-5,1,3,1,5,5,5
576,-5,-5,1,1,1,3,1,5,5,5
577,-5,5,1,1,5,1,1,1,1,1
578,-5,5,1,1,1,3,1,1,1,1
579,5,5,-5,-5,3,3,1,5,5,5
580,-5,5,-5,-5,3,3,5,5,5,1
581,5,5,1,1,1,1,-5,-5,-5,-5
582,-5,5,1,-5,1,1,5,5,5,5
583,-5,5,5,1,1,-3,0,5,5,5
584,-5,5,5,-5,1,1,1,-5,5,5
585,-5,5,1,1,1,1,5,-5,-5,-5
586,-5,5,1,-5,3,3,1,5,5,1
587,-5,5,1,-5,1,-3,1,-5,5,5
588,-5,5,1,1,1,1,1,1,5,5
589,-5,5,5,5,1,-3,1,5,-5,-5
590,-5,-5,-5,-5,-3,-3,5,1,5,5
591,-5,-5,1,1,1,1,1,5,5,5
592,-5,5,5,5,1,-3,1,1,-5,1
593,-5,5,-5,-5,1,1,0,-5,-5,-5
594,-5,-5,1,-5,3,3,1,5,5,1
595,5,5,1,1,1,1,1,5,5,5
596,5,5,-5,-5,3,1,0,5,5,5
597,-5,5,1,1,-3,1,-1,-5,5,5
598,-5,5,-5,-5,3,1,0,1,-5,-5
599,-5,5,1,1,1,-3,-5,5,-5,-5
600,-5,-5,5,5,1,-3,0,-5,-5,-5
601,5,-5,5,1,3,1,0,5,1,5
602,-5,5,5,5,-5,-5,5,5,1,1
603,-5,5,-5,-5,3,-3,-5,-5,-5,-5
604,-5,5,1,1,1,1,5,5,5,5
605,-5,5,-5,-5,5,-3,-3,5,5,1
606,5,5,1,-5,3,3,1,-5,1,1
607,5,-5,-5,-5,3,3,-1,-5,1,1
608,-5,5,-5,-5,3,1,1,5,5,5
609,-5,5,1,-5,1,1,1,5,5,5
610,-5,5,1,-5,1,-3,1,-5,1,1
611,-5,5,-5,-5,3,3,-1,5,1,5
612,-5,5,-5,1,5,-3,5,1,5,5
613,5,5,5,-5,3,3,1,-5,-5,1
614,-5,5,5,5,-3,-3,5,-5,-5,-5
615,-5,5,5,5,-5,-5,5,5,5,5
616,-5,5,1,-5,5,1,1,5,5,5
617,-5,5,5,5,1,1,5,5,5,5
618,5,5,1,-5,3,3,-1,1,1,-5
619,-5,5,-5,-5,-3,-3,5,5,5,5
620,-5,5,1,1,3,1,1,-5,-5,-5
621,-5,-5,-5,-5,3,1,1,-5,5,5
622,5,5,1,-5,3,3,-5,-5,1,1
623,-5,5,1,-5,1,1,0,5,5,5
624,-5,5,5,1,3,3,0,-5,-5,1
625,-5,5,1,1,1,5,1,-5,5,5
626,-5,5,5,-5,1,-3,-5,-5,-5,-5
627,-5,5,-5,-5,1,1,-1,1,1,5
628,-5,5,1,-5,3,1,1,5,5,-5
629,-5,5,1,1,1,1,1,5,5,-5
630,5,5,5,-5,3,3,1,5,5,5
631,-5,5,5,-5,1,3,1,1,-5,-5
632,-5,5,1,1,3,3,-1,-5,-5,-5
633,-5,5,5,1,1,-3,1,-5,-5,-5
634,-5,5,5,1,-3,-3,1,5,5,5
635,-5,5,5,5,3,-3,5,-5,-5,-5
636,-5,5,-5,1,3,-3,5,5,5,5
637,-5,5,-5,-5,3,3,5,-5,5,-5
638,5,-5,-5,-5,3,3,-3,-5,-5,1
639,-5,5,5,5,3,1,1,-5,-5,-5
640,-5,5,5,-5,1,1,-1,1,1,-5
641,-5,5,-5,-5,3,-3,1,5,5,5
642,-5,5,-5,-5,3,5,5,5,5,5
643,-5,5,1,1,-5,-3,1,5,5,1
644,-5,5,-5,-5,3,-3,1,-5,1,1
645,5,5,1,1,1,1,1,-5,5,1
646,5,5,-5,-5,3,3,1,-5,-5,-5
647,-5,5,-5,-5,3,3,-3,5,5,1
648,-5,5,1,-5,3,3,-3,-5,-5,-5
649,-5,5,-5,-5,3,3,1,-5,-5,5
650,5,5,1,-5,3,1,1,-5,-5,-5
651,-5,5,-5,-5,1,-3,-1,5,5,5
652,-5,5,1,-5,3,3,-3,5,5,-5
653,-5,5,5,-5,3,1,1,5,1,5
654,-5,-5,1,5,1,-3,5,5,1,-5
655,-5,5,1,-5,1,-3,1,1,5,1
656,-5,5,1,-5,1,1,1,-5,-5,-5
657,-5,5,-5,-5,1,-3,-1,-5,-5,-5
658,-5,5,1,-5,5,1,1,5,5,5
659,-5,5,-5,-5,3,3,-3,5,5,5
660,-5,5,1,5,-5,-5,1,1,1,1
661,5,5,-5,-5,3,1,5,1,5,5
662,-5,5,-5,-5,3,1,-5,5,-5,-5
663,-5,5,-5,-5,1,1,1,1,1,1
664,-5,5,5,5,-3,-3,1,1,1,1
665,-5,5,-5,-5,5,5,5,5,5,5
666,-5,5,-5,-5,-3,-5,5,1,1,5
667,5,5,1,-5,1,1,1,5,1,1
668,-5,-5,-5,-5,3,3,-1,5,-5,-5
669,-5,5,1,-5,1,1,1,-5,1,-5
670,-5,5,-5,-5,3,3,1,5,5,-5
671,-5,5,5,1,1,1,1,-5,1,-5
672,-5,-5,1,-5,3,3,1,1,5,5
673,-5,5,1,-5,3,3,-3,1,5,5
674,-5,5,1,-5,3,3,1,-5,-5,-5
675,5,5,-5,-5,3,5,1,5,5,5
676,-5,5,-5,-5,1,-3,1,1,1,1
677,-5,5,1,-5,1,-3,5,1,1,1
678,-5,5,1,-5,5,5,1,1,5,5
679,-5,5,-5,-5,5,1,1,5,5,5
680,-5,5,1,-5,1,3,0,5,1,1
681,5,5,1,-5,3,3,1,-5,-5,-5
682,-5,5,1,-5,1,1,0,-5,1,1
683,-5,5,1,1,-3,1,-1,-5,-5,-5
684,-5,5,-5,-5,1,-3,5,5,5,5
685,-5,5,1,-5,1,1,1,5,5,5
686,-5,5,1,1,1,-3,-5,-5,-5,-5
687,-5,5,-5,-5,3,1,5,-5,-5,-5
688,-5,5,-5,-5,1,1,5,5,-5,-5
689,-5,5,1,-5,3,3,5,5,5,5
690,-5,-5,1,1,1,1,-3,1,5,1
691,-5,5,5,5,1,-3,1,-5,-5,-5
692,-5,5,-5,-5,1,1,-1,1,5,5
693,-5,5,5,-5,3,3,-3,5,5,5
694,-5,5,1,-5,3,3,1,5,1,-5
695,5,5,-5,-5,-3,-3,-1,1,-5,-5
696,-5,5,1,5,3,3,-5,1,-5,-5
697,5,5,1,1,3,3,1,1,5,5
698,-5,5,1,1,3,3,-5,5,-5,-5
699,5,5,-5,-5,3,3,-1,5,5,5
700,-5,5,-5,-5,3,1,1,5,5,5
701,-5,-5,-5,-5,3,3,-5,5,1,1
702,-5,5,1,-5,1,1,0,1,-5,-5
703,-5,5,1,1,-3,1,-1,-5,-5,-5
704,-5,5,-5,1,5,5,-1,-5,5,-5
705,-5,5,5,-5,3,3,-3,1,-5,-5
706,-5,5,1,1,5,5,-1,1,5,1
707,5,5,1,1,3,1,1,1,5,5
708,-5,5,1,-5,3,3,1,-5,-5,-5
709,-5,5,-5,-5,3,3,-3,-5,-5,-5
710,5,5,5,1,1,1,1,1,-5,-5
711,5,-5,1,-5,3,1,5,-5,5,5
712,-5,5,5,5,-3,-3,5,5,5,-5
713,-5,5,1,1,3,3,-3,1,-5,1
714,-5,-5,5,1,3,1,5,5,5,5
715,5,5,-5,-5,3,1,-3,-5,5,5
716,-5,5,-5,1,3,-3,1,5,5,-5
717,-5,5,-5,-5,-3,-5,-1,5,5,5
718,5,5,5,5,1,1,1,1,1,-5
719,-5,-5,-5,-5,3,3,0,-5,-5,-5
720,-5,5,-5,-5,3,5,0,-5,5,5
721,-5,5,-5,-5,1,1,1,5,-5,5
722,5,5,5,1,3,1,-1,-5,5,-5
723,-5,5,1,-5,-3,1,1,5,-5,-5
724,-5,5,1,-5,3,3,-1,5,5,5
725,-5,5,-5,-5,3,3,0,5,1,5
726,5,5,5,1,1,1,0,5,-5,-5
727,5,5,1,1,5,1,5,-5,1,5
728,-5,5,-5,-5,1,3,-1,5,5,5
729,-5,5,1,1,1,1,-1,1,-5,1
730,-5,5,1,-5,1,1,0,5,5,5
731,-5,-5,1,-5,3,3,1,5,5,5
732,-5,5,-5,-5,3,3,5,-5,1,1
733,5,5,5,-5,5,5,1,5,5,5
734,5,5,1,-5,3,3,1,5,5,5
735,5,5,1,1,1,1,1,1,5,1
736,-5,5,1,1,-3,-3,1,1,1,1
737,-5,5,1,1,-3,-3,5,1,1,-5
738,5,-5,1,1,1,1,-1,-5,-5,-5
739,-5,5,5,5,3,3,1,-5,-5,-5
740,-5,5,1,1,1,-3,5,5,5,5
741,-5,5,1,1,-3,1,5,5,5,-5
742,5,5,1,1,3,3,5,5,-5,-5
743,-5,5,5,-5,3,3,1,5,5,5
744,-5,5,5,1,1,1,1,5,5,-5
745,5,5,1,-5,1,1,1,-5,1,5
746,5,5,1,1,-3,-3,-1,1,1,1
747,5,-5,1,-5,3,3,-1,5,5,1
748,5,5,5,-5,3,3,-3,1,1,-5
749,-5,5,-5,-5,5,3,-1,5,5,5
750,5,5,1,1,1,3,1,-5,1,1
751,5,5,-5,-5,3,3,0,5,5,1
752,5,5,-5,-5,3,3,-1,5,1,5
753,-5,5,-5,5,1,-3,0,-5,-5,-5
754,-5,5,-5,-5,3,3,1,5,1,1
755,-5,-5,1,1,-3,-3,1,5,1,-5
756,-5,5,1,1,1,-3,-5,1,-5,-5
757,-5,5,5,-5,5,3,1,5,5,5
758,-5,5,5,5,-3,-5,5,-5,5,5
759,-5,5,1,1,1,1,1,1,1,1
760,-5,5,1,-5,5,3,1,1,5,5
761,-5,5,5,5,-3,1,1,-5,-5,-5
762,-5,5,-5,-5,3,3,1,1,5,-5
763,5,5,1,1,1,-3,1,5,5,5
764,-5,5,1,1,1,1,-1,1,1,1
765,5,5,1,1,1,1,-5,1,-5,-5
766,-5,5,5,1,1,1,5,-5,-5,-5
767,5,5,1,-5,3,-3,1,-5,-5,-5
768,5,5,-5,-5,1,1,1,5,5,5
769,-5,5,5,-5,1,1,-1,5,1,-5
770,-5,-5,-5,-5,-3,-3,1,5,5,-5
771,-5,-5,-5,-5,3,3,-5,5,-5,-5
772,-5,5,1,-5,-3,-3,5,-5,5,5
773,5,5,-5,-5,1,3,1,5,1,1
774,5,5,-5,-5,3,3,-3,5,5,5
775,-5,5,-5,-5,3,3,0,5,5,5
776,-5,5,-5,-5,-5,-5,5,5,5,5
777,-5,5,5,5,1,1,1,5,-5,5
778,-5,5,-5,-5,3,3,-1,5,5,1
779,-5,5,1,-5,3,1,-1,1,5,5
780,-5,-5,1,-5,3,1,1,-5,-5,-5
781,-5,5,-5,-5,1,1,1,5,5,5
782,-5,5,1,-5,3,3,-5,5,5,1
783,5,-5,1,-5,5,1,1,-5,5,1
784,-5,5,1,1,-3,-3,1,1,5,5
785,5,5,1,-5,1,1,-5,-5,-5,-5
786,-5,-5,-5,-5,1,-3,-3,-5,-5,-5
787,5,5,1,1,1,-3,1,-5,5,-5
788,5,5,1,-5,5,-3,5,5,1,1
789,-5,5,-5,-5,1,1,5,-5,-5,-5
790,-5,5,-5,-5,3,3,-3,5,1,1
791,-5,5,1,1,-5,-5,5,5,5,5
792,-5,5,1,-5,1,1,-3,1,1,1
793,-5,5,-5,-5,1,3,-3,-5,1,1
794,-5,5,-5,-5,3,1,-1,5,5,5
795,-5,5,1,-5,1,-3,1,-5,-5,1
796,5,-5,1,-5,3,3,0,1,1,1
797,-5,5,5,-5,1,1,5,5,5,5
798,-5,5,5,-5,3,1,1,-5,5,1
799,5,5,1,-5,3,3,-1,5,5,5
800,-5,5,-5,-5,3,3,-5,-5,-5,-5
801,5,5,1,1,1,1,1,1,1,1
802,-5,5,-5,-5,3,3,1,-5,-5,-5
803,-5,5,1,-5,3,1,1,5,5,1
804,-5,5,1,-5,3,1,1,1,5,-5
805,-5,-5,-5,-5,5,3,-1,-5,-5,5
806,-5,5,1,-5,3,3,1,5,5,-5
807,5,-5,1,5,-3,1,-5,-5,-5,-5
808,-5,5,-5,-5,5,1,5,5,5,5
809,-5,5,1,-5,3,3,1,5,5,1
810,5,-5,1,1,3,1,0,1,-5,1
811,-5,-5,5,5,3,3,5,-5,-5,-5
812,-5,5,-5,-5,1,-3,1,-5,-5,-5
813,-5,5,5,1,-3,1,1,5,-5,1
814,-5,-5,5,1,3,-3,0,-5,-5,-5
815,5,5,-5,-5,5,-3,1,5,5,5
816,-5,-5,-5,-5,1,-3,1,-5,-5,-5
817,-5,5,1,1,1,3,1,-5,-5,-5
818,-5,5,1,1,-3,-3,1,5,1,1
819,5,5,-5,1,3,3,1,-5,1,5
820,-5,-5,-5,-5,3,3,-3,1,1,1
821,-5,5,1,-5,3,3,1,5,5,5
822,5,-5,1,1,-3,-3,1,-5,-5,1
823,-5,5,1,1,3,1,-5,1,-5,-5
824,-5,5,5,1,1,-3,1,5,5,5
825,-5,5,-5,-5,3,3,1,5,5,5
826,-5,5,1,1,-3,-3,1,1,-5,-5
827,5,5,1,1,-3,1,-5,-5,-5,-5
828,-5,5,-5,-5,3,1,-5,-5,-5,-5
829,-5,5,1,1,3,3,5,5,5,5
830,-5,5,1,1,1,1,1,5,5,5
831,-5,5,5,1,-3,1,1,5,5,-5
832,-5,5,5,1,1,1,1,-5,-5,-5
833,-5,-5,1,1,1,1,1,-5,-5,-5
834,-5,5,1,1,1,1,5,1,5,5
835,-5,5,-5,-5,3,-3,1,-5,5,-5
836,-5,5,1,-5,1,1,1,1,-5,-5
837,-5,5,1,1,3,3,-5,5,-5,-5
838,5,5,1,1,3,3,-5,5,-5,-5
839,5,5,1,-5,3,1,5,5,1,1
840,-5,5,-5,-5,3,3,0,1,1,1
841,-5,5,-5,-5,3,-3,-3,-5,-5,-5
842,5,5,1,-5,3,-3,5,5,5,5
843,-5,5,5,5,1,-5,5,5,5,5
844,-5,-5,-5,-5,1,1,1,-5,-5,-5
845,-5,5,-5,-5,5,5,5,1,5,5
846,-5,5,1,1,1,-3,1,5,-5,-5
847,-5,5,1,-5,-3,-3,1,5,5,5
848,-5,5,1,-5,3,3,1,-5,5,5
849,5,5,5,1,1,1,-1,-5,-5,-5
850,-5,5,1,-5,3,3,1,5,1,-5
851,-5,5,1,1,3,3,1,-5,5,5
852,-5,5,1,-5,3,3,1,1,5,5
853,-5,5,1,-5,3,3,1,5,5,1
854,-5,5,1,1,1,1,1,5,5,5
855,5,5,1,-5,3,3,1,5,5,5
856,-5,5,1,-5,3,-5,0,1,5,-5
857,-5,5,1,1,-3,-3,0,-5,-5,-5
858,-5,5,5,1,1,-3,1,-5,-5,-5
859,-5,5,1,-5,1,-3,5,-5,1,-5
860,-5,5,-5,-5,1,-3,1,5,5,1
861,-5,5,5,1,1,1,-1,5,5,1
862,-5,5,-5,-5,3,1,-1,1,-5,-5
863,-5,5,-5,-5,1,5,-3,5,5,1
864,-5,5,1,1,1,-3,1,-5,-5,-5
865,-5,5,-5,-5,3,3,0,-5,-5,-5
866,5,5,5,1,1,-3,1,5,5,5
867,-5,5,-5,-5,-3,-3,1,5,-5,5
868,-5,5,1,-5,3,3,-3,5,5,5
869,-5,5,1,-5,3,1,1,5,5,5
870,5,5,1,1,1,-3,0,5,5,-5
871,5,5,-5,-5,5,5,1,-5,5,5
872,5,5,1,1,1,1,5,5,5,5
873,-5,5,-5,-5,1,1,-1,1,1,1
874,-5,5,1,-5,5,1,5,-5,5,-5
875,-5,5,1,-5,3,3,1,-5,-5,1
876,5,-5,-5,1,1,-3,1,5,5,-5
877,-5,5,-5,-5,1,1,1,1,-5,-5
878,5,-5,-5,-5,-3,1,0,-5,-5,1
879,-5,5,-5,-5,1,1,0,1,1,1
880,-5,5,-5,-5,3,3,-1,5,1,1
881,-5,5,1,1,1,1,-1,5,5,-5
882,-5,5,5,5,-3,-3,1,-5,-5,1
883,-5,5,5,1,3,1,1,-5,-5,-5
884,5,5,1,1,1,1,1,-5,5,5
885,5,5,5,5,-3,1,5,5,5,1
886,5,-5,5,1,1,-3,1,1,1,-5
887,5,5,5,-5,3,3,-1,1,5,5
888,-5,5,5,5,5,-5,1,-5,5,5
889,-5,5,5,1,3,1,1,1,1,1
890,5,5,1,1,1,1,0,-5,-5,-5
891,5,5,-5,-5,3,1,1,-5,-5,-5
892,-5,5,5,5,-3,-3,0,5,1,1
893,5,5,1,-5,1,-3,5,1,5,5
894,-5,5,5,1,3,3,0,5,1,-5
895,5,-5,1,1,-3,1,5,5,5,5
896,5,5,-5,-5,-3,-3,5,-5,-5,-5
897,-5,5,1,1,3,3,0,1,5,1
898,5,5,-5,-5,3,3,-5,1,-5,-5
899,5,5,-5,-5,1,1,-1,-5,-5,-5
900,5,5,-5,-5,1,5,1,-5,5,5
901,5,5,5,-5,1,-3,5,5,5,5
902,-5,5,-5,-5,3,1,-1,-5,-5,-5
903,-5,5,1,-5,-3,1,-3,-5,1,1
904,-5,5,-5,-5,5,-3,-1,5,5,5
905,-5,5,-5,-5,3,3,0,-5,1,-5
906,5,5,1,1,1,-3,1,-5,1,1
907,-5,5,-5,-5,3,3,1,1,5,5
908,5,5,1,-5,3,3,-5,-5,-5,-5
909,-5,-5,-5,-5,3,3,1,5,-5,-5
910,-5,5,-5,-5,1,1,1,5,5,1
911,5,5,-5,-5,-3,-3,-1,-5,5,5
912,-5,5,1,-5,1,1,1,5,5,5
913,5,5,1,1,1,1,1,-5,-5,1
914,-5,5,-5,-5,-3,-3,5,5,5,5
915,-5,-5,1,1,3,1,1,5,5,5
916,-5,-5,5,-5,1,1,0,-5,-5,-5
917,5,5,1,1,1,1,1,5,5,1
918,-5,5,-5,-5,1,-3,1,-5,-5,-5
919,5,-5,1,1,1,1,5,5,5,5
920,5,5,1,-5,1,1,1,-5,1,-5
921,5,5,-5,-5,3,3,0,-5,1,1
922,-5,5,5,5,1,1,-1,-5,-5,-5
923,-5,5,5,5,1,1,1,-5,-5,-5
924,5,5,5,-5,3,3,5,-5,-5,-5
925,-5,5,1,1,1,1,0,1,-5,-5
926,5,5,1,-5,1,-3,1,1,-5,-5
927,-5,5,5,-5,1,1,-3,5,1,1
928,-5,-5,5,1,3,1,1,1,5,-5
929,-5,5,5,1,1,1,5,5,5,5
930,-5,5,5,1,1,1,1,5,-5,-5
931,-5,-5,1,-5,1,1,1,-5,-5,1
932,-5,5,1,-5,1,3,-5,-5,-5,-5
933,-5,-5,1,1,3,-3,-5,-5,-5,-5
934,-5,5,-5,-5,1,-3,5,-5,1,-5
935,-5,5,1,-5,1,-3,1,-5,-5,-5
936,-5,5,1,1,1,1,-5,-5,-5,-5
937,-5,5,1,-5,1,-3,1,5,5,5
938,-5,5,-5,1,-3,-3,0,5,5,5
939,5,5,-5,-5,1,-3,5,5,1,1
940,-5,5,-5,-5,3,3,-1,5,5,1
941,-5,5,-5,-5,3,1,-3,1,5,5
942,-5,5,1,1,-3,1,-1,5,-5,-5
943,-5,5,1,-5,5,-3,5,5,5,5
944,-5,5,5,5,-3,-3,5,5,5,-5
945,5,-5,-5,-5,3,3,1,1,5,-5
946,-5,-5,-5,-5,1,1,1,-5,-5,-5
947,-5,5,-5,-5,5,1,1,5,5,1
948,5,5,1,1,1,1,5,-5,5,5
949,-5,5,-5,-5,1,1,-3,5,5,1
950,-5,5,1,1,1,-3,-5,-5,-5,-5
951,5,5,1,-5,1,1,1,1,5,1
952,-5,-5,-5,-5,1,-3,-1,5,5,5
953,-5,5,5,1,1,1,1,5,5,1
954,-5,5,5,1,3,3,5,-5,5,-5
955,-5,5,1,-5,3,1,1,5,-5,-5
956,5,5,-5,-5,3,3,1,1,5,1
957,-5,5,-5,-5,3,3,-5,1,-5,-5
958,-5,5,-5,-5,1,1,1,-5,1,-5
959,-5,5,-5,-5,1,-3,1,-5,-5,-5
960,-5,5,5,-5,1,1,1,-5,-5,5
961,5,5,1,-5,3,3,1,5,5,5
962,-5,5,1,-5,-3,-3,5,-5,5,-5
963,-5,5,1,-5,3,1,-1,-5,-5,-5
964,-5,-5,5,-5,1,1,5,5,1,1
965,-5,5,-5,-5,3,3,1,5,1,1
966,-5,5,1,-5,3,-5,5,5,5,5
967,-5,5,5,5,1,-3,0,5,5,5
968,-5,5,5,5,1,1,1,5,5,5
969,-5,5,-5,-5,5,1,1,1,1,1
970,-5,5,1,1,1,1,1,-5,5,5
971,-5,-5,-5,-5,-3,3,1,5,-5,-5
972,-5,5,-5,-5,-3,-3,5,5,5,5
973,-5,5,-5,-5,5,3,1,1,5,5
974,-5,5,-5,1,3,1,1,5,5,5
975,-5,5,5,1,1,1,-1,1,1,1
976,-5,5,-5,-5,3,3,-3,5,5,5
977,-5,5,-5,-5,3,3,1,-5,5,5
978,-5,-5,1,1,-3,-3,-1,-5,-5,-5
979,-5,5,-5,-5,3,1,5,1,5,1
980,-5,5,5,1,1,1,1,5,1,-5
981,-5,5,1,1,1,1,-3,5,5,5
982,5,5,1,-5,3,3,0,-5,5,1
983,-5,5,5,1,-3,-3,1,1,-5,-5
984,-5,5,1,1,-3,-3,5,-5,1,1
985,5,5,-5,-5,1,1,0,5,1,1
986,-5,5,-5,-5,3,3,-3,-5,1,5
987,-5,-5,5,5,3,-3,0,-5,-5,-5
988,5,-5,5,5,1,1,5,1,5,5
989,-5,5,5,-5,3,-3,5,5,5,5
990,-5,5,5,1,1,-3,-5,5,1,1
991,-5,5,1,1,1,1,1,-5,-5,-5
992,-5,5,1,-5,3,1,1,-5,-5,-5
993,-5,5,5,5,-3,-3,0,1,5,1
994,-5,5,1,-5,1,1,1,1,-5,-5
995,-5,5,5,-5,3,3,1,5,1,5
996,-5,5,5,5,1,-3,5,5,5,5
997,-5,5,5,5,1,1,5,5,5,1
998,-5,5,5,5,1,-3,-1,5,-5,5
999,5,5,5,5,-5,-5,1,-5,5,5
1000,-5,5,5,1,1,1,1,-5,-5,-5
1001,-5,5,-5,-5,3,3,-1,-5,-5,-5
1002,-5,5,1,-5,3,1,5,-5,1,1
1003,-5,5,-5,-5,1,1,1,-5,5,5
1004,5,5,5,5,1,1,5,-5,5,5
1005,-5,5,5,-5,1,1,-1,1,5,1
1006,-5,5,-5,-5,1,-3,1,1,-5,-5
1007,-5,5,5,5,-5,1,5,-5,5,1
1008,-5,5,-5,-5,3,1,0,5,-5,-5
1009,5,5,5,-5,3,1,1,5,1,1
1010,-5,5,1,1,1,1,1,-5,5,1
1011,-5,5,5,-5,1,1,-1,1,1,-5
1012,-5,5,1,-5,3,1,1,5,5,5
1013,-5,-5,5,-5,3,3,-5,1,5,-5
1014,-5,5,1,1,1,1,1,5,-5,-5
1015,-5,5,5,1,1,3,5,5,5,5
1016,-5,5,5,5,1,1,5,-5,-5,-5
1017,-5,5,-5,-5,3,1,-1,-5,-5,-5
1018,5,5,1,1,1,1,1,5,5,5
1019,-5,5,1,1,5,3,-1,5,1,1
1020,-5,5,1,1,1,-3,1,-5,-5,-5
1021,-5,5,1,1,-3,-3,-5,-5,5,-5
1022,-5,5,1,1,1,-3,5,-5,-5,-5
1023,-5,5,1,-5,1,1,1,-5,-5,-5
1024,-5,5,-5,-5,1,5,1,1,1,1
1025,-5,5,5,-5,-5,-5,0,5,5,1
1026,5,5,5,1,1,1,5,5,5,5
1027,5,5,1,-5,1,-3,1,5,-5,-5
1028,-5,5,1,-5,5,-3,1,5,5,5
1029,-5,5,-5,1,3,3,-3,-5,-5,-5
1030,-5,5,-5,-5,3,1,1,1,5,5
1031,-5,5,1,1,3,1,-5,-5,-5,-5
1032,5,5,1,-5,1,1,1,-5,-5,-5
1033,-5,5,1,-5,3,3,-3,5,5,5
1034,-5,5,1,-5,1,1,1,-5,5,1
1035,-5,5,1,-5,3,3,5,5,5,5
1036,-5,5,-5,-5,3,3,-1,5,-5,5
1037,5,5,1,1,1,1,1,-5,1,-5
1038,-5,5,1,1,1,-3,1,5,-5,-5
1039,-5,5,1,-5,1,1,5,5,5,-5
1040,5,5,5,1,3,1,1,-5,5,-5
1041,-5,-5,1,-5,3,3,-1,5,5,5
1042,-5,5,-5,-5,5,1,1,-5,1,1
1043,-5,-5,1,1,1,1,-5,-5,-5,-5
